part_number,name,last_updated,unit_weight,maturity_factor
20553800-501,"ANTENNA ASSEMBLY, AS-4883/SPY",,,
20553820-501,ANTENNA SOCKET STRUCTURE ASSEMBLY,,,
20553760-501,"ASSEMBLY, STRUCTURE",,,
20553754-501,"ASSEMBLY, STRUCTURE",,,
20553751-501,"STRUCTURE, TOP",,283.5,1.1
20553751-30,"STRUCTURE, TOP",,,
20553842-501,"STRUCTURE, BOTTOM",,640.9,1.1
20553842-30,"STRUCTURE, BOTTOM",,,
20553753-501,"STRUCTURE, SIDE",,345.9,1.1
20553753-30,"STRUCTURE, SIDE",,,
20553766-501,"STRUCTURE, SIDE",,339.4,1.1
20553766-20,"STRUCTURE, SIDE",,,
20553830-501,"COLDPLATE, TR",,155.2,1.03
20553830-30,"COLDPLATE, TR",,,
20553839-1,"PLATE, SPANNER",,8.8,1.1
20553841-501,"PLATE, SPANNER, FACE",,613,1.15
20553841-20,"PLATE, SPANNER, FACE",,,
20546382-1,BEAMFORMER ASSEMBLY,,4.58,1
20549115-1,BEAMFORMER ASSEMBLY,,,
20553840-501,"COLUMN ASSEMBLY, FORWARD",,,
20553843-501,"COLDPLATE, FORWARD COLUMN",,31.6,1.1
20553843-30,"COLDPLATE, FORWARD COLUMN",,,
20553843-34,"COLDPLATE CAP, FORWARD COLUMN",,,
20553843-35,"COLDPLATE CAP, FORWARD COLUMN",,,
20547110-2,"CCA - FILTER CIRCULATOR, EVEN",,2.26,1
20547110-1,"CCA - FILTER CIRCULATOR, ODD",,2.26,1
20553796-501,"JUMPER, COOLANT",,,
20553796-10,"JUMPER, COOLANT",,,
20553797-1,FLOW RESTRICTOR,,,
20549098-1,SLEEVE,,,
20553796-502,"JUMPER, COOLANT",,,
20553796-11,"JUMPER, COOLANT",,,
20553840-502,"COLUMN ASSEMBLY, FORWARD",,,
20553843-502,"COLDPLATE, FORWARD COLUMN",,31.6,1.1
20553843-31,"COLDPLATE, FORWARD COLUMN",,,
20547110-4,"CCA - FILTER CIRCULATOR, EVEN CAL",,2.26,1
20553840-503,"COLUMN ASSEMBLY, FORWARD",,,
20553840-504,"COLUMN ASSEMBLY, FORWARD",,,
20542679-13,"ADAPTER, CONNECTOR - RF, BLINDMATE",,,
20542679-14,"ADAPTER, CONNECTOR - RF, BLINDMATE",,,
20542679-5,"ADAPTER, CONNECTOR - RF, BLINDMATE",,,
20553750-501,"COLUMN ASSEMBLY, REAR",,236.51,1.15
20553762-501,"COLDPLATE, COLUMN, SHELL",,,
20553762-30,"COLDPLATE, COLUMN, SHELL",,,
20541856-1,PLATE,,,
20541847-1,"BRACKET, CONNECTOR",,,
20549017-3,"BUS, CONDUCTOR (SIDE 2)",,,
20547046-1,WIRE BRACKET,,,
20549099-1,BRACKET,,,
20549068-1,"BRACKET, CONNECTOR",,,
20547054-1,BRACKET,,,
20549352-13,"CABLE ASSEMBLY, FIBER OPTIC - MULTIMODE",,,
20549352-14,"CABLE ASSEMBLY, FIBER OPTIC - MULTIMODE",,,
20543476-501,"HARNESS ASSEMBLY, POWER",,,
20553750-502,"COLUMN ASSEMBLY, REAR",,240.09,1.15
20553752-501,"COLDPLATE, COLUMN, SHELL",,,
20553752-30,"COLDPLATE, COLUMN, SHELL",,,
20547053-1,BRACKET,,,
20541858-1,PLATE,,,
20541859-2,PLATE,,,
20541867-1,"BRACKET, DIGITAL",,,
20541868-1,"BRACKET, DIGITAL",,,
20541848-1,PLUG,,,
20549017-1,"BUS, CONDUCTOR",,,
20544297-1,"DIVIDER, 2-WAY, CLOCK",,,
20544297-9,"DIVIDER, 6-WAY, LO",,,
20544297-8,"DIVIDER, 6-WAY CAL",,,
20547015-101,"CABLE ASSY - RF, PHASE STABLE, SMALL",,,
20547015-103,"CABLE ASSY - RF, PHASE STABLE, SMALL",,,
20547015-205,"CABLE ASSY - RF, PHASE STABLE, MEDIUM",,,
20547015-209,"CABLE ASSY - RF, PHASE STABLE, MEDIUM",,,
20547015-120,"CABLE ASSY - RF, PHASE STABLE, SMALL",,,
20547015-206,"CABLE ASSY - RF, PHASE STABLE, MEDIUM",,,
20553750-503,"COLUMN ASSEMBLY, REAR",,240.09,1.15
20553750-504,"COLUMN ASSEMBLY, REAR",,236.51,1.15
20553763-501,"COLDPLATE, COLUMN, SHELL",,,
20553763-30,"COLDPLATE, COLUMN, SHELL",,,
20549017-2,"BUS, CONDUCTOR (SIDE 1)",,,
20549038-1,AIR_FLANGE,,,
20547045-1,"SHIM, FACEPLATE",,,
20547045-2,"SHIM, FACEPLATE",,,
20547045-3,"SHIM, FACEPLATE",,,
20553838-501,"BRACKET, SUPPORT, SIDE PANEL",,,
20553838-30,BRACKET,,,
20553838-502,"BRACKET, SUPPORT, SIDE PANEL",,,
20553838-31,BRACKET,,,
20547089-1,SPACER,,,
20549095-1,GUIDE,,,
20549095-2,GUIDE,,,
20549095-3,GUIDE,,,
20549095-4,GUIDE,,,
20553829-501,"PLATE, SEAL",,,
20553829-20,"PLATE, SEAL",,,
20553834-501,"PLATE, SEAL",,,
20553834-20,"PLATE, SEAL",,,
20553835-501,"PLATE, SEAL",,,
20553835-20,"PLATE, SEAL",,,
20553771-501,TOP PLATE ASSEMBLY,,,
20544297-2,"DIVIDER, 2-WAY, CAL",,,
20544297-6,"DIVIDER, 4-WAY, CAL",,,
20547015-109,"CABLE ASSY - RF, PHASE STABLE, SMALL",,,
20547015-112,"CABLE ASSY - RF, PHASE STABLE, SMALL",,,
20547015-202,"CABLE ASSY - RF, PHASE STABLE, MEDIUM",,,
20553758-501,"PANEL, TOP",,75,1.1
20553758-30,"PANEL, TOP",,,
20547035-1,"PLATE, MOUNTING",,,
20547033-1,"PLATE, SHIM",,,
20547033-2,"PLATE, SHIM",,,
20553756-501,"PANEL, SIDE",,,
20553756-30,PANEL,,,
20553757-501,"PANEL, SIDE",,,
20553757-30,PANEL,,,
20547087-1,"JUMPER, COOLANT",,,
20553764-501,"PANEL, BOTTOM",,,
20553764-30,"PANEL, BOTTOM",,,
20553764-502,"PANEL, BOTTOM",,,
20553764-31,"PANEL, BOTTOM",,,
20553782-501,"PANEL, POWER BULKHEAD",,1,1.1
20553782-40,"PANEL, POWER BULKHEAD",,,
20553783-501,"PANEL, UPPER BULKHEAD",,0.4,1.1
20553783-40,"PANEL, UPPER BULKHEAD",,,
20547276-501,"TILE ASSEMBLY, LOWER A",,3,1
20547282-1,"RADIATING TILE SUBASSEMBLY, LOWER A",,,
20547284-501,"PATCH, TOP, RADIATING TILE",,,
20547284-10,"PATCH, TOP, RADIATING TILE",,,
20547284-11,"PATCH, TOP, RADIATING TILE",,,
20544126-501,"PATCH, LOWER, RADIATING TILE",,,
20544126-10,"DISK, LOWER PATCH",,,
20544126-11,"POST, LOWER PATCH",,,
20544127-1,"PUCK, RADIATING TILE",,,
20547270-501,"TILE ASSEMBLY, THINNED",,0.8,1
20547282-3,"RADIATING TILE SUBASSY, QUARTER TERMN",,,
20541845-1,"BRACKET, POWER",,,
20547103-1,O RING,,,
20547138-1,SHOULDER BOLT,,,
20547138-2,SHOULDER BOLT,,,
20547015-115,"CABLE ASSY - RF, PHASE STABLE, SMALL",,,
20546913-501,"CABLE ASSEMBLY, POWER",,,
20547016-501,"CABLE ASSEMBLY, POWER",,,
20550466-1,GROMMET,,,
20550467-1,COLLAR,,,
20549160-501,"CABLE ASSEMBLY, POWER",,,
20549350-1,"CABLE ASSEMBLY, FIBER OPTIC - MULTIMODE",,,
20549350-2,"CABLE ASSEMBLY, FIBER OPTIC - MULTIMODE",,,
20549350-19,"CABLE ASSEMBLY, FIBER OPTIC - MULTIMODE",,,
20549351-7,"CABLE ASSEMBLY, FIBER OPTIC-SINGLE MODE",,,
20547244-1,"PLATE, BRIDGE",,,
20547245-501,"BRACKET, MOUNTING",,,
20547245-20,"BRACKET, MOUNTING",,,
20547246-501,"BRACKET, MOUNTING",,,
20547246-20,"BRACKET, MOUNTING",,,
20541500-508,SUBARRAY SUITE ASSEMBLY,,32.9,1
20541635-505,COLUMN PROCESSOR LRU ASSEMBLY,,10.5,1
20543782-502,DIGITAL DISTRIBUTION ASSEMBLY,,8,1
20544300-506,TERMINATION SUITE ASSEMBLY,,,
