rel_id,parent_part_number,child_part_number,qty,last_updated
20553800-501_20553820-501,20553800-501,20553820-501,1,
20553820-501_20553760-501,20553820-501,20553760-501,1,
20553760-501_20553754-501,20553760-501,20553754-501,1,
20553754-501_20553751-501,20553754-501,20553751-501,1,
20553751-501_20553751-30,20553751-501,20553751-30,1,
20553754-501_20553842-501,20553754-501,20553842-501,1,
20553842-501_20553842-30,20553842-501,20553842-30,1,
20553754-501_20553753-501,20553754-501,20553753-501,1,
20553753-501_20553753-30,20553753-501,20553753-30,1,
20553754-501_20553766-501,20553754-501,20553766-501,1,
20553766-501_20553766-20,20553766-501,20553766-20,1,
20553760-501_20553830-501,20553760-501,20553830-501,10,
20553830-501_20553830-30,20553830-501,20553830-30,1,
20553760-501_20553839-1,20553760-501,20553839-1,4,
20553820-501_20553841-501,20553820-501,20553841-501,1,
20553841-501_20553841-20,20553841-501,20553841-20,1,
20553820-501_20546382-1,20553820-501,20546382-1,80,
20553820-501_20549115-1,20553820-501,20549115-1,4,
20553840_20553840-501,20553840,20553840-501,10,
20553843-501_20553843-30,20553843-501,20553843-30,1,
20553843-501_20553843-34,20553843-501,20553843-34,1,
20553843-501_20553843-35,20553843-501,20553843-35,2,
20553796-501_20553796-10,20553796-501,20553796-10,1,
20553796-501_20553797-1,20553796-501,20553797-1,1,
20553796-501_20549098-1,20553796-501,20549098-1,1,
20553796-502_20553796-11,20553796-502,20553796-11,1,
20553840_20553840-502,20553840,20553840-502,10,
20553843-502_20553843-31,20553843-502,20553843-31,1,
20553843-502_20553843-34,20553843-502,20553843-34,1,
20553843-502_20553843-35,20553843-502,20553843-35,2,
20553796-501_20553796-10,20553796-501,20553796-10,1,
20553796-501_20553797-1,20553796-501,20553797-1,1,
20553796-501_20549098-1,20553796-501,20549098-1,1,
20553796-502_20553796-11,20553796-502,20553796-11,1,
20553840_20553840-503,20553840,20553840-503,6,
20553843-501_20553843-30,20553843-501,20553843-30,1,
20553843-501_20553843-34,20553843-501,20553843-34,1,
20553843-501_20553843-35,20553843-501,20553843-35,2,
20553796-501_20553796-10,20553796-501,20553796-10,1,
20553796-501_20553797-1,20553796-501,20553797-1,1,
20553796-501_20549098-1,20553796-501,20549098-1,1,
20553796-502_20553796-11,20553796-502,20553796-11,1,
20553840_20553840-504,20553840,20553840-504,6,
20553843-502_20553843-31,20553843-502,20553843-31,1,
20553843-502_20553843-34,20553843-502,20553843-34,1,
20553843-502_20553843-35,20553843-502,20553843-35,2,
20553796-501_20553796-10,20553796-501,20553796-10,1,
20553796-501_20553797-1,20553796-501,20553797-1,1,
20553796-501_20549098-1,20553796-501,20549098-1,1,
20553796-502_20553796-11,20553796-502,20553796-11,1,
20553820-501_20542679-13,20553820-501,20542679-13,4500,
20553820-501_20542679-14,20553820-501,20542679-14,2000,
20553820-501_20542679-5,20553820-501,20542679-5,2250,
20553750_20553750-501,20553750,20553750-501,1,
20553750-501_20553762-501,20553750-501,20553762-501,1,
20553762-501_20553762-30,20553762-501,20553762-30,1,
20553750-501_20541856-1,20553750-501,20541856-1,10,
20553750-501_20541847-1,20553750-501,20541847-1,1,
20553750-501_20549017-3,20553750-501,20549017-3,1,
20553750-501_20547046-1,20553750-501,20547046-1,1,
20553750-501_20549099-1,20553750-501,20549099-1,1,
20553750-501_20549068-1,20553750-501,20549068-1,1,
20553750-501_20547054-1,20553750-501,20547054-1,1,
20553750-501_20549352-13,20553750-501,20549352-13,1,
20553750-501_20549352-14,20553750-501,20549352-14,1,
20553750-501_20543476-501,20553750-501,20543476-501,1,
20553750_20553750-502,20553750,20553750-502,1,
20553750-502_20553752-501,20553750-502,20553752-501,1,
20553752-501_20553752-30,20553752-501,20553752-30,1,
20553750-502_20547053-1,20553750-502,20547053-1,1,
20553750-502_20541858-1,20553750-502,20541858-1,9,
20553750-502_20541859-2,20553750-502,20541859-2,1,
20553750-502_20541867-1,20553750-502,20541867-1,9,
20553750-502_20541868-1,20553750-502,20541868-1,1,
20553750-502_20541856-1,20553750-502,20541856-1,20,
20553750-502_20541847-1,20553750-502,20541847-1,1,
20553750-502_20541848-1,20553750-502,20541848-1,1,
20553750-502_20549017-1,20553750-502,20549017-1,1,
20553750-502_20547046-1,20553750-502,20547046-1,1,
20553750-502_20549099-1,20553750-502,20549099-1,1,
20553750-502_20549068-1,20553750-502,20549068-1,1,
20553750-502_20547054-1,20553750-502,20547054-1,1,
20553750-502_20544297-1,20553750-502,20544297-1,1,
20553750-502_20544297-9,20553750-502,20544297-9,1,
20553750-502_20544297-8,20553750-502,20544297-8,2,
20553750-502_20547015-101,20553750-502,20547015-101,1,
20553750-502_20547015-103,20553750-502,20547015-103,15,
20553750-502_20547015-205,20553750-502,20547015-205,1,
